"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989018840","Arctoa blyttii","Herbarium record",1978-10-15,"1978","43.809167","-121.940278"
"1988890056","Arctoa blyttii","Herbarium record",1977-07-31,"1977","57.666667","-126.75"
"2979592309","Arctoa blyttii","MATERIAL_SAMPLE",2019-08-07,"2019","53.268","-132.234"
"1930522422","Arctoa blyttii","Herbarium record",1967-09-14,"1967","48.26611","-122.165"
"1928576148","Arctoa blyttii","Herbarium record",1965-07-25,"1965","69.37","-145.05"
"1929364353","Arctoa blyttii","Herbarium record",1927-08-04,"1927","51.03","-118.2"
"1930110881","Arctoa blyttii","Herbarium record",1987-07-05,"1987","60.12","-152.58"
"1927998010","Arctoa blyttii","Herbarium record",1977-07-31,"1977","57.67","-126.75"
"1929060129","Arctoa blyttii","Herbarium record",1976-07-12,"1976","67.28","-156.98"
"1930803453","Arctoa blyttii","Herbarium record",1983-07-24,"1983","69.47","-142.97"
"1928374914","Arctoa blyttii","Herbarium record",1987-09-03,"1987","60.15","-152.6"
"1929102823","Arctoa blyttii","Herbarium record",1987-09-03,"1987","60.15","-152.6"
"1929251145","Arctoa blyttii","Herbarium record",1997-07-20,"1997","60.37","-172.65"
"1930911328","Arctoa blyttii","Herbarium record",1898-05-17,"1898","49.114205","-121.458909"
"1930282542","Arctoa blyttii","Herbarium record",1994-08-21,"1994","51.92","-176.75"
"2005523038","Arctoa blyttii","Herbarium record",1956-09-02,"1956","46.88333","-121.88333"
"2005550537","Arctoa blyttii","Herbarium record",1971-09-15,"1971","48.777343","-121.813201"
"2005550592","Arctoa blyttii","Herbarium record",1966-09-13,"1966","49.883333","-122.983333"
"2005550573","Arctoa blyttii","Herbarium record",1994-08-21,"1994","51.936389","-176.742778"
"2005550558","Arctoa blyttii","Herbarium record",1961-09-07,"1961","50.179167","-125.2975"
"2005550480","Arctoa blyttii","Herbarium record",1967-09-14,"1967","48.057881","-121.796792"
"1804458838","Arctoa blyttii","Herbarium record",1890-08-08,"1890","51.25","-117.517"
"4066631343","Arctoa blyttii","Herbarium record",2022-07-14,"2022","47.815694","-121.102889"
"3490124324","Arctoa blyttii","Herbarium record",2005-07-07,"2005","57.468667","-154.571139"
"3490132323","Arctoa blyttii","Herbarium record",2001-03-27,"2001","48.066667","-121.783333"
"3490128324","Arctoa blyttii","Herbarium record",1992-06-19,"1992","44.416667","-122.033333"
"3756226355","Arctoa blyttii","Herbarium record",2019-08-12,"2019","46.65225","-121.430694"
"1656005345","Arctoa blyttii","Herbarium record",1980-08-25,"1980","44.1275","-121.775"
"4129068404","Arctoa blyttii","Herbarium record",2022-07-23,"2022","61.104509","-149.640508"
"1822178155","Arctoa blyttii","Herbarium record",2005-07-07,"2005","57.468667","-154.571139"
"3421317303","Arctoa blyttii","Herbarium record",2007-06-11,"2007","49.367217","-122.948983"
"3421318303","Arctoa blyttii","Herbarium record",2007-06-11,"2007","49.367217","-122.948983"
"1987911796","Arctoa blyttii","Herbarium record",1960-08-20,"1960","49.8","-123.0"
"1987850555","Arctoa blyttii","Herbarium record",2012-07-22,"2012","49.4","-123.21"
"1987747600","Arctoa blyttii","Herbarium record",1964-06-20,"1964","49.1","-120.8"
"1987786472","Arctoa blyttii","Herbarium record",1960-10-02,"1960","48.91","-121.7"
"1987902907","Arctoa blyttii","Herbarium record",1961-06-18,"1961","53.3","-132.3"
"1987775088","Arctoa blyttii","Herbarium record",1968-06-14,"1968","56.1","-132.36"
"1987776627","Arctoa blyttii","Herbarium record",1992-07-29,"1992","59.6","-137.8"
"1987725130","Arctoa blyttii","Herbarium record",1996-07-20,"1996","54.9","-159.3"
"1987922397","Arctoa blyttii","Herbarium record",1969-08-01,"1969","49.3","-124.6"
"1987897814","Arctoa blyttii","Herbarium record",,"1971","49.7","-125.6"
"1987929306","Arctoa blyttii","Herbarium record",1977-07-14,"1977","49.8","-117.4"
"1987868416","Arctoa blyttii","Herbarium record",1982-08-15,"1982","50.3","-122.5"
"1987881908","Arctoa blyttii","Herbarium record",2012-08-17,"2012","49.299","-121.26"
"1987793569","Arctoa blyttii","Herbarium record",1949-08-13,"1949","49.2","-124.6"
"1987827605","Arctoa blyttii","Herbarium record",2001-09-29,"2001","46.6","-121.4"
"1987896047","Arctoa blyttii","Herbarium record",2000-08-29,"2000","52.8","172.8"
"1987917444","Arctoa blyttii","Herbarium record",1969-08-03,"1969","49.7","-118.9"
"1987905582","Arctoa blyttii","Herbarium record",1957-08-16,"1957","52.8","-132.1"
"1987741942","Arctoa blyttii","Herbarium record",2000-08-10,"2000","52.9","173.2"
"1987832590","Arctoa blyttii","Herbarium record",1981-07-29,"1981","51.8","-119.9"
"1987887746","Arctoa blyttii","Herbarium record",1966-09-13,"1966","49.9","-123.0"
"1987830066","Arctoa blyttii","Herbarium record",1961-09-07,"1961","49.4","-123.0"
"1987911221","Arctoa blyttii","Herbarium record",1985-08-18,"1985","53.1","-132.0"
"1987729155","Arctoa blyttii","Herbarium record",1963-09-22,"1963","49.4","-123.1"
"1987732236","Arctoa blyttii","Herbarium record",1981-08-08,"1981","49.2","-121.7"
"1987847155","Arctoa blyttii","Herbarium record",1968-06-14,"1968","56.28","-132.43"
"1987913746","Arctoa blyttii","Herbarium record",1986-08-20,"1986","49.4","-122.9"
"1987880287","Arctoa blyttii","Herbarium record",1980-08-13,"1980","49.8","-123.1"
"1987729526","Arctoa blyttii","Herbarium record",,"1980","50.1","-122.3"
"1987725111","Arctoa blyttii","Herbarium record",1978-08-28,"1978","49.9","-116.4"
"1987724568","Arctoa blyttii","Herbarium record",1969-07-04,"1969","49.7","-118.9"
"1987815387","Arctoa blyttii","Herbarium record",1980-08-26,"1980","50.1","-122.8"
"1987727598","Arctoa blyttii","Herbarium record",1985-08-16,"1985","53.2","-132.4"
"1987728751","Arctoa blyttii","Herbarium record",1977-07-15,"1977","49.8","-117.2"
"1987843216","Arctoa blyttii","Herbarium record",1978-07-13,"1978","49.8","-117.7"
"1987830655","Arctoa blyttii","Herbarium record",1978-08-05,"1978","51.0","-118.1"
"1987742879","Arctoa blyttii","Herbarium record",1956-02-09,"1956","46.63","-119.45"
"1987826878","Arctoa blyttii","Herbarium record",1976-07-10,"1976","49.7","-117.2"
"1987806627","Arctoa blyttii","Herbarium record",1978-08-21,"1978","50.7","-116.8"
"1987752724","Arctoa blyttii","Herbarium record",1961-09-07,"1961","49.4","-123.0"
"1987889022","Arctoa blyttii","Herbarium record",2001-08-03,"2001","61.2","-149.89"
"1987804225","Arctoa blyttii","Herbarium record",1996-09-08,"1996","52.9","-121.4"
"1987738347","Arctoa blyttii","Herbarium record",1997-07-12,"1997","57.2","-170.3"
"1987892791","Arctoa blyttii","Herbarium record",1968-09-08,"1968","59.6","-136.5"
"1987892897","Arctoa blyttii","Herbarium record",1976-08-17,"1976","49.0","-121.8"
"1987867719","Arctoa blyttii","Herbarium record",1963-07-01,"1963","48.27","-122.17"
"1987799911","Arctoa blyttii","Herbarium record",1969-08-20,"1969","50.1","-122.8"
"1987843763","Arctoa blyttii","Herbarium record",1980-08-19,"1980","50.0","-123.1"
"1987752778","Arctoa blyttii","Herbarium record",1966-07-23,"1966","53.3","-132.5"
"1987780133","Arctoa blyttii","Herbarium record",1969-09-15,"1969","50.0","-123.1"
"1987796491","Arctoa blyttii","Herbarium record",,"1981","53.2","-132.4"
"1987744889","Arctoa blyttii","Herbarium record",1980-08-18,"1980","50.0","-123.1"
"1987777111","Arctoa blyttii","Herbarium record",1968-05-26,"1968","49.9","-123.2"
"1987816292","Arctoa blyttii","Herbarium record",1968-08-02,"1968","49.7","-118.9"
"1987754101","Arctoa blyttii","Herbarium record",1971-09-15,"1971","45.75","-122.66"
"1987814728","Arctoa blyttii","Herbarium record",2000-08-18,"2000","52.9","173.2"
"1987749530","Arctoa blyttii","Herbarium record",1971-09-01,"1971","49.3","-125.2"
"1987726070","Arctoa blyttii","Herbarium record",1986-09-13,"1986","49.4","-121.2"
"1987850967","Arctoa blyttii","Herbarium record",1982-08-19,"1982","49.7","-125.6"
"1987863859","Arctoa blyttii","Herbarium record",1979-09-06,"1979","52.1","-118.7"
"1987864323","Arctoa blyttii","Herbarium record",2005-07-07,"2005","57.469","-154.571"
"1987826262","Arctoa blyttii","Herbarium record",1998-07-18,"1998","57.6","-156.8"
"1987856957","Arctoa blyttii","Herbarium record",2015-07-28,"2015","51.5762","-117.6006"
"1987873305","Arctoa blyttii","Herbarium record",1983-08-11,"1983","50.0","-122.9"
"1987857577","Arctoa blyttii","Herbarium record",1961-09-20,"1961","49.8","-123.0"
"1987726296","Arctoa blyttii","Herbarium record",2006-08-29,"2006","51.908","-176.706"
"1987731577","Arctoa blyttii","Herbarium record",2007-08-11,"2007","53.8","-166.5"
"1987745052","Arctoa blyttii","Herbarium record",1960-08-14,"1960","47.75","-121.09"
"1987772491","Arctoa blyttii","Herbarium record",1992-07-23,"1992","59.6","-137.2"
"1987828300","Arctoa blyttii","Herbarium record",2013-07-05,"2013","50.47","-120.55"
"1987888830","Arctoa blyttii","Herbarium record",1976-07-22,"1976","51.4","-117.5"
"1987759481","Arctoa blyttii","Herbarium record",1976-07-22,"1976","51.4","-117.5"
"1987915650","Arctoa blyttii","Herbarium record",1967-09-16,"1967","50.1","-122.8"
"1987895873","Arctoa blyttii","Herbarium record",1998-07-18,"1998","57.6","-156.8"
"1987822205","Arctoa blyttii","Herbarium record",1963-10-19,"1963","45.75","-122.66"
"1987887790","Arctoa blyttii","Herbarium record",1969-07-12,"1969","49.1","-124.3"
"1987834618","Arctoa blyttii","Herbarium record",2000-07-25,"2000","57.5","-156.5"
"1987821390","Arctoa blyttii","Herbarium record",1983-08-17,"1983","48.0","-121.0"
"1987832885","Arctoa blyttii","Herbarium record",1979-06-29,"1979","54.8","-127.3"
"1987809357","Arctoa blyttii","Herbarium record",1978-08-03,"1978","51.1","-118.1"
"1987775853","Arctoa blyttii","Herbarium record",1988-06-25,"1988","52.7","-118.9"
"1987730774","Arctoa blyttii","Herbarium record",1980-08-26,"1980","50.1","-122.8"
"1987816251","Arctoa blyttii","Herbarium record",2005-08-31,"2005","51.8","-176.7"
"1987747250","Arctoa blyttii","Herbarium record",2014-08-23,"2014","50.12","-122.95"
"1804610990","Arctoa blyttii","Herbarium record",1891-08-07,"1891","51.25","-117.517"
"3697815339","Arctoa blyttii","Herbarium record",2020-06-05,"2020","45.314688","-121.575615"
"4856653970","Arctoa blyttii","Herbarium record",1992-06-19,"1992","44.416667","-122.033333"
"4856252447","Arctoa blyttii","Herbarium record",2001-03-27,"2001","48.066667","-121.783333"
"4856462511","Arctoa blyttii","Herbarium record",1999-06-18,"1999","47.366667","-123.466667"
"4856532812","Arctoa blyttii","Herbarium record",1994-09-10,"1994","48.866667","-121.666667"
"4856532811","Arctoa blyttii","Herbarium record",1994-09-10,"1994","48.866667","-121.666667"
"4856306861","Arctoa blyttii","Herbarium record",1994-09-02,"1994","43.333333","-122.566667"
"4856308696","Arctoa blyttii","Herbarium record",1994-09-10,"1994","48.866667","-121.666667"
"4856306862","Arctoa blyttii","Herbarium record",1994-09-10,"1994","48.866667","-121.666667"
