"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989385937","Plagiochila gracilis","Herbarium record",1966-07-13,"1966","52.466667","-131.55"
"1989268228","Plagiochila gracilis","Herbarium record",1979-06-27,"1979","54.25","-130.333333"
"1989070532","Plagiochila gracilis","Herbarium record",1977-06-06,"1977","53.583333","-132.916667"
"1989415972","Plagiochila gracilis","Herbarium record",1968-08-04,"1968","52.833333","-132.133333"
"1931379806","Plagiochila gracilis","Herbarium record",1977-06-06,"1977","53.58","-132.92"
"1928606543","Plagiochila gracilis","Herbarium record",1986-08-09,"1986","52.92","-129.13"
"1928727046","Plagiochila gracilis","Herbarium record",1985-08-08,"1985","53.58","-132.83"
"1929579201","Plagiochila gracilis","Herbarium record",1966-07-13,"1966","52.47","-131.55"
"1930540409","Plagiochila gracilis","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"2447318334","Plagiochila gracilis","Herbarium record",2016-08-19,"2016","52.16464","-174.4433"
"1931116697","Plagiochila gracilis","Herbarium record",1994-08-26,"1994","51.71992","-176.597117"
"1930420700","Plagiochila gracilis","Herbarium record",1977-06-06,"1977","53.58","-132.92"
"1931212643","Plagiochila gracilis","Herbarium record",1980-07-09,"1980","52.67","-132.0"
"1929074182","Plagiochila gracilis","Herbarium record",1986-08-11,"1986","53.45","-129.78"
"2005600206","Plagiochila gracilis","Herbarium record",2009-08-07,"2009","51.816667","-176.6"
"2005600163","Plagiochila gracilis","Herbarium record",1963-06-13,"1963","49.327107","-121.717253"
"2005600429","Plagiochila gracilis","Herbarium record",1971-07-05,"1971","52.75","-131.833333"
"2005600281","Plagiochila gracilis","Herbarium record",1964-09-13,"1964","53.106301","-132.052066"
"2005600224","Plagiochila gracilis","Herbarium record",1968-07-20,"1968","53.068667","-132.40543"
"2005599953","Plagiochila gracilis","Herbarium record",1966-06-24,"1966","53.25","-132.333333"
"2005600559","Plagiochila gracilis","Herbarium record",1968-06-15,"1968","52.838491","173.159878"
"2005616959","Plagiochila gracilis","Herbarium record",1964-06-11,"1964","52.708333","-131.837222"
"2005600134","Plagiochila gracilis","Herbarium record",1971-07-06,"1971","53.041776","-132.109212"
"2005599880","Plagiochila gracilis","Herbarium record",1971-07-06,"1971","52.617054","-131.777395"
"2005599883","Plagiochila gracilis","Herbarium record",1964-06-11,"1964","52.218366","-131.182437"
"2005600253","Plagiochila gracilis","Herbarium record",1977-06-06,"1977","53.58333","-132.91666"
"2005600002","Plagiochila gracilis","Herbarium record",1971-07-07,"1971","53.0464","-132.185018"
"2005600468","Plagiochila gracilis","Herbarium record",2000-08-26,"2000","52.9025","172.909444"
"2005600282","Plagiochila gracilis","Herbarium record",1961-08-22,"1961","52.983333","-132.1"
"2005600410","Plagiochila gracilis","Herbarium record",1968-06-15,"1968","52.838491","173.159878"
"2005599966","Plagiochila gracilis","Herbarium record",1979-06-27,"1979","54.276274","-130.307515"
"2005599927","Plagiochila gracilis","Herbarium record",1968-06-15,"1968","52.831889","173.167074"
"2005600465","Plagiochila gracilis","Herbarium record",1986-08-09,"1986","52.916667","-128.833333"
"2005600380","Plagiochila gracilis","Herbarium record",1963-06-14,"1963","54.275842","-130.319304"
"1804386218","Plagiochila gracilis","Herbarium record",1980-07-09,"1980","52.6667","-132.0"
"1804499416","Plagiochila gracilis","Herbarium record",1971-07-07,"1971","52.75","-131.883"
"1804600918","Plagiochila gracilis","Herbarium record",1977-06-06,"1977","53.5833","-132.917"
"1804609005","Plagiochila gracilis","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"1804409097","Plagiochila gracilis","Herbarium record",1964-07-31,"1964","53.1333","-132.083"
"1804435532","Plagiochila gracilis","Herbarium record",1966-07-01,"1966","53.0833","-132.083"
"1804474109","Plagiochila gracilis","Herbarium record",1968-08-02,"1968","52.7667","-132.0"
"1804610895","Plagiochila gracilis","Herbarium record",1966-07-13,"1966","52.4667","-131.55"
"1804612022","Plagiochila gracilis","Herbarium record",1977-06-06,"1977","53.5833","-132.917"
"1804577708","Plagiochila gracilis","Herbarium record",1985-08-08,"1985","53.5833","-132.833"
"1804428025","Plagiochila gracilis","Herbarium record",1979-06-27,"1979","54.25","-130.333"
"1804380195","Plagiochila gracilis","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"1804421833","Plagiochila gracilis","Herbarium record",1971-07-07,"1971","52.75","-131.883"
"1804424556","Plagiochila gracilis","Herbarium record",1985-08-13,"1985","52.75","-131.917"
"1804494239","Plagiochila gracilis","Herbarium record",1977-06-06,"1977","53.5833","-132.917"
"1804513607","Plagiochila gracilis","Herbarium record",1970-10-30,"1970","49.0833","-125.167"
"1804568982","Plagiochila gracilis","Herbarium record",1964-08-01,"1964","53.0833","-132.167"
"1804573780","Plagiochila gracilis","Herbarium record",1968-08-02,"1968","52.7667","-132.0"
"1949667193","Plagiochila gracilis","Herbarium record",1993-08-03,"1993","53.566667","-132.866667"
"1987916825","Plagiochila gracilis","Herbarium record",1962-07-09,"1962","53.26","-132.09"
"1987799642","Plagiochila gracilis","Herbarium record",1964-08-01,"1964","53.1","-132.2"
"1987791599","Plagiochila gracilis","Herbarium record",1964-09-13,"1964","53.26","-132.09"
"1987853109","Plagiochila gracilis","Herbarium record",1986-08-11,"1986","53.5","-129.8"
"1987832348","Plagiochila gracilis","Herbarium record",1967-07-29,"1967","57.1","-135.2"
"1987733897","Plagiochila gracilis","Herbarium record",1961-08-26,"1961","53.26","-132.09"
"1987799001","Plagiochila gracilis","Herbarium record",1964-06-15,"1964","53.26","-132.09"
"1987825317","Plagiochila gracilis","Herbarium record",1966-07-28,"1966","53.26","-132.09"
"1987927194","Plagiochila gracilis","Herbarium record",1961-08-23,"1961","53.26","-132.09"
"1987867652","Plagiochila gracilis","Herbarium record",1994-08-16,"1994","51.85","-176.64"
"1987889929","Plagiochila gracilis","Herbarium record",1968-08-04,"1968","52.8","-132.1"
"1987759984","Plagiochila gracilis","Herbarium record",1969-07-26,"1969","53.26","-132.09"
"1987929291","Plagiochila gracilis","Herbarium record",1968-08-04,"1968","52.8","-132.1"
"1987892038","Plagiochila gracilis","Herbarium record",1961-08-22,"1961","53.26","-132.09"
"1987746214","Plagiochila gracilis","Herbarium record",1968-08-03,"1968","57.09","-134.83"
"1987747111","Plagiochila gracilis","Herbarium record",1994-08-17,"1994","51.8192","-176.6451"
"1987805627","Plagiochila gracilis","Herbarium record",1969-07-23,"1969","53.26","-132.09"
"1987785920","Plagiochila gracilis","Herbarium record",1968-07-31,"1968","52.8","-132.1"
"1987783322","Plagiochila gracilis","Herbarium record",1970-10-30,"1970","49.1","-125.2"
"1987921450","Plagiochila gracilis","Herbarium record",2003-08-07,"2003","51.8","-176.6"
"1987743377","Plagiochila gracilis","Herbarium record",1964-06-12,"1964","53.26","-132.09"
"1987803322","Plagiochila gracilis","Herbarium record",1966-07-11,"1966","52.6","-131.9"
"1987776840","Plagiochila gracilis","Herbarium record",1964-06-10,"1964","53.26","-132.09"
"1987732674","Plagiochila gracilis","Herbarium record",1966-07-06,"1966","53.26","-132.09"
"1987793938","Plagiochila gracilis","Herbarium record",2000-08-12,"2000","52.9","173.2"
"1987903495","Plagiochila gracilis","Herbarium record",1971-07-05,"1971","53.26","-132.09"
"1987840086","Plagiochila gracilis","Herbarium record",2008-08-14,"2008","53.962","-166.1036"
"1987876257","Plagiochila gracilis","Herbarium record",1970-10-30,"1970","49.1","-125.2"
"1987722339","Plagiochila gracilis","Herbarium record",1961-08-23,"1961","53.26","-132.09"
"1987866684","Plagiochila gracilis","Herbarium record",1968-08-01,"1968","52.8","-132.0"
"1987802618","Plagiochila gracilis","Herbarium record",1964-06-11,"1964","53.26","-132.09"
"1987775258","Plagiochila gracilis","Herbarium record",1966-07-19,"1966","52.9","-132.0"
"1987864070","Plagiochila gracilis","Herbarium record",1968-07-10,"1968","57.09","-134.83"
"1987794974","Plagiochila gracilis","Herbarium record",1971-07-07,"1971","52.8","-131.9"
"1987826942","Plagiochila gracilis","Herbarium record",2000-08-22,"2000","52.84","173.14"
"1987769570","Plagiochila gracilis","Herbarium record",1961-08-23,"1961","53.26","-132.09"
"1987848385","Plagiochila gracilis","Herbarium record",1966-07-09,"1966","53.1","-132.3"
"1987760096","Plagiochila gracilis","Herbarium record",1966-06-24,"1966","53.26","-132.09"
"1987872950","Plagiochila gracilis","Herbarium record",1968-08-01,"1968","52.8","-132.0"
"1987779100","Plagiochila gracilis","Herbarium record",1968-07-01,"1968","57.09","-134.83"
"1987779097","Plagiochila gracilis","Herbarium record",1967-07-29,"1967","57.1","-135.2"
"1987757021","Plagiochila gracilis","Herbarium record",1967-07-30,"1967","54.0","-132.8"
"1987727458","Plagiochila gracilis","Herbarium record",1962-07-09,"1962","53.26","-132.09"
"1987742276","Plagiochila gracilis","Herbarium record",1967-06-21,"1967","53.2","-132.5"
"1987741039","Plagiochila gracilis","Herbarium record",1961-08-22,"1961","53.26","-132.09"
"1804463815","Plagiochila gracilis","Herbarium record",1966-07-09,"1966","53.0833","-132.5"
"1804363927","Plagiochila gracilis","Herbarium record",1966-06-28,"1966","52.9833","-132.083"
"1804606470","Plagiochila gracilis","Herbarium record",1966-06-28,"1966","52.9833","-132.083"
"1804614311","Plagiochila gracilis","Herbarium record",1970-10-30,"1970","49.1","-125.183"
"1804368306","Plagiochila gracilis","Herbarium record",1986-08-11,"1986","53.45","-129.783"
"1804449945","Plagiochila gracilis","Herbarium record",1966-07-10,"1966","52.8333","-132.25"
"1052498909","Plagiochila gracilis","Herbarium record",2002-09-17,"2002","52.8","173.15"
"5196178951","Plagiochila gracilis","Herbarium record",1994-08-07,"1994","51.816667","-176.6"
