"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988707566","Schistostega pennata","Herbarium record",1983-08-01,"1983","54.366667","-128.533333"
"1931068832","Schistostega pennata","Herbarium record",1875-06-24,"1875","54.913573","-122.946368"
"1929613378","Schistostega pennata","Herbarium record",1962-08-02,"1962","48.26667","-124.675"
"1929885971","Schistostega pennata","Herbarium record",1983-08-01,"1983","54.37","-128.53"
"1929630252","Schistostega pennata","Herbarium record",1875-06-25,"1875","54.913573","-122.946368"
"2005564159","Schistostega pennata","Herbarium record",1970-11-17,"1970","52.742778","-131.803333"
"5066473346","Schistostega pennata","Herbarium record",2002-07-16,"2002","48.698611","-121.687778"
"4980793548","Schistostega pennata","Herbarium record",2024-06-25,"2024","44.23395","-124.03276"
"5066475351","Schistostega pennata","Herbarium record",2001-10-03,"2001","46.770278","-121.415"
"5054343454","Schistostega pennata","Herbarium record",2003-08-23,"2003","42.8919779","-122.1683475"
"5066472348","Schistostega pennata","Herbarium record",2001-04-04,"2001","47.466667","-123.866667"
"5066474347","Schistostega pennata","Herbarium record",2000-06-26,"2000","47.383333","-121.383333"
"4995119052","Schistostega pennata","Herbarium record",2024-07-01,"2024","44.26725","-124.08827"
"5066475353","Schistostega pennata","Herbarium record",2001-09-06,"2001","47.423194","-121.556861"
"5066474348","Schistostega pennata","Herbarium record",2000-06-26,"2000","47.383333","-121.391667"
"5066475352","Schistostega pennata","Herbarium record",2001-10-02,"2001","46.797583","-121.394333"
"5209972302","Schistostega pennata","Herbarium record",1994-09-24,"1994","48.716667","-121.7"
"5209957301","Schistostega pennata","Herbarium record",2004-09-16,"2004","47.05","-121.343333"
"5069352315","Schistostega pennata","Herbarium record",2007-05-11,"2007","57.0575","-135.306944"
"3971228340","Schistostega pennata","Herbarium record",2014-09-26,"2014","56.471874","-132.362888"
"5203406653","Schistostega pennata","Herbarium record",2023-01-22,"2023","44.26707","-124.096213"
"3971231338","Schistostega pennata","Herbarium record",1998-08-06,"1998","43.116667","-122.164167"
"3971229336","Schistostega pennata","Herbarium record",2003-03-29,"2003","47.834167","-123.836389"
"1987874554","Schistostega pennata","Herbarium record",2004-05-17,"2004","57.1","-135.4"
"1987797220","Schistostega pennata","Herbarium record",2017-08-13,"2017","49.31","-123.14"
"1987900735","Schistostega pennata","Herbarium record",2007-03-06,"2007","49.3031","-123.1564"
"1987838064","Schistostega pennata","Herbarium record",2007-03-06,"2007","49.3035","-123.1386"
"1987785584","Schistostega pennata","Herbarium record",1977-08-07,"1977","49.2","-117.1"
"1987763060","Schistostega pennata","Herbarium record",1978-07-19,"1978","50.3","-116.6"
"1987876077","Schistostega pennata","Herbarium record",1980-09-14,"1980","49.3","-122.5"
"1987907542","Schistostega pennata","Herbarium record",1969-07-23,"1969","53.3","-132.6"
"1987921335","Schistostega pennata","Herbarium record",2004-06-15,"2004","51.1","-118.0"
"1987922370","Schistostega pennata","Herbarium record",1964-06-08,"1964","53.3","-132.1"
"1987837557","Schistostega pennata","Herbarium record",2004-05-16,"2004","57.1","-135.4"
"1987864349","Schistostega pennata","Herbarium record",2011-09-24,"2011","53.5","-120.7"
"1987810496","Schistostega pennata","Herbarium record",1978-08-04,"1978","51.0","-118.1"
"1987875781","Schistostega pennata","Herbarium record",1991-10-14,"1991","49.6","-121.1"
"1987839774","Schistostega pennata","Herbarium record",1980-08-19,"1980","51.0","-118.7"
"1987789830","Schistostega pennata","Herbarium record",1967-08-09,"1967","57.1","-135.3"
"1987769719","Schistostega pennata","Herbarium record",1980-04-16,"1980","49.7","-123.2"
"1987775798","Schistostega pennata","Herbarium record",1980-08-20,"1980","51.0","-118.7"
"5209939301","Schistostega pennata","Herbarium record",1998-07-28,"1998","44.937667","-123.712944"
"5209946301","Schistostega pennata","Herbarium record",2004-09-14,"2004","48.139167","-121.192222"
"4856557427","Schistostega pennata","Herbarium record",1994-09-08,"1994","48.066667","-121.8"
"4068949118","Schistostega pennata","Herbarium record",2003-03-27,"2003","47.917778","-124.599444"
"1805434533","Schistostega pennata","Herbarium record",1899-06-05,"1899","46.784135","-121.758982"
"5196165865","Schistostega pennata","Herbarium record",2013-08-27,"2013","60.50788","-153.89305"
"5196165866","Schistostega pennata","Herbarium record",2012-06-28,"2012","60.3053","-154.00172"
"5196165867","Schistostega pennata","Herbarium record",2010-07-17,"2010","61.136616","-153.733498"
"5196165860","Schistostega pennata","Herbarium record",2010-07-17,"2010","61.136616","-153.733498"
"2252185956","Schistostega pennata","Herbarium record",1899-06-05,"1899","47.030391","-122.680153"
"2252186391","Schistostega pennata","Herbarium record",1983-08-01,"1983","54.367","-128.533"
"5895552266","Schistostega pennata","Herbarium record",2001-08-21,"2001","47.31083","-121.3045074"
"5895554375","Schistostega pennata","Herbarium record",2002-07-23,"2002","48.6956173","-122.3414644"
"5895555655","Schistostega pennata","Herbarium record",2001-10-03,"2001","46.7718311","-121.4111992"
"5895557952","Schistostega pennata","Herbarium record",1997-08-16,"1997","48.71755","-121.69563"
"5895558964","Schistostega pennata","Herbarium record",2000-08-31,"2000","47.0608256","-121.8610167"
"5895559809","Schistostega pennata","Herbarium record",1899-06-05,"1899","46.73184","-121.88962"
"5895562234","Schistostega pennata","Herbarium record",1961-01-16,"1961","49.23772","-123.197808"
"5895563563","Schistostega pennata","Herbarium record",2000-09-23,"2000","45.9002292","-122.0934996"
"5895563607","Schistostega pennata","Herbarium record",1999-08-31,"1999","48.5911323","-120.8064211"
"5895563829","Schistostega pennata","Herbarium record",2001-09-06,"2001","47.423194","-121.556861"
"5895568600","Schistostega pennata","Herbarium record",2002-07-31,"2002","48.7383239","-121.6645473"
"5895569110","Schistostega pennata","Herbarium record",2000-09-08,"2000","47.0759301","-121.3789045"
"5895572517","Schistostega pennata","Herbarium record",1994-09-24,"1994","48.716667","-121.7"
"5895574738","Schistostega pennata","Herbarium record",2001-10-15,"2001","48.50056","-120.73667"
"5895575057","Schistostega pennata","Herbarium record",2002-08-12,"2002","48.7099239","-121.6645467"
"5895578569","Schistostega pennata","Herbarium record",1997-08-16,"1997","48.71755","-121.69563"
"5895578719","Schistostega pennata","Herbarium record",2001-06-28,"2001","48.7383239","-121.6645473"
"5895578798","Schistostega pennata","Herbarium record",2001-10-15,"2001","48.503833","-120.7413175"
"5895578842","Schistostega pennata","Herbarium record",1899-06-05,"1899","46.73184","-121.88962"
"5895580337","Schistostega pennata","Herbarium record",1994-09-24,"1994","48.7525233","-121.7300494"
"5895584335","Schistostega pennata","Herbarium record",2002-07-17,"2002","48.7099239","-121.6645467"
"5895584663","Schistostega pennata","Herbarium record",2001-08-28,"2001","47.3949287","-121.4129119"
"5895586935","Schistostega pennata","Herbarium record",2002-10-13,"2002","48.5766323","-120.8064208"
"5895588644","Schistostega pennata","Herbarium record",2006-10-26,"2006","46.0783339","-121.4783874"
"5895588981","Schistostega pennata","Herbarium record",2004-09-16,"2004","47.05","-121.343333"
"5895592772","Schistostega pennata","Herbarium record",2000-10-24,"2000","46.1944317","-121.6445939"
"5895592868","Schistostega pennata","Herbarium record",2002-08-02,"2002","46.06082","-121.87983"
"5895593110","Schistostega pennata","Herbarium record",2000-07-10,"2000","46.1654315","-121.6861944"
"5895598472","Schistostega pennata","Herbarium record",2000-06-19,"2000","46.1944317","-121.6445939"
"5895600574","Schistostega pennata","Herbarium record",2000-10-05,"2000","46.0928313","-121.7485946"
"5895600934","Schistostega pennata","Herbarium record",2000-09-06,"2000","46.2089314","-121.6653947"
"5895604610","Schistostega pennata","Herbarium record",2000-09-06,"2000","46.2089314","-121.6653947"
"5895605175","Schistostega pennata","Herbarium record",1999-07-01,"1999","46.0928338","-121.4783877"
"5895606406","Schistostega pennata","Herbarium record",2001-08-13,"2001","46.1218315","-121.7069941"
"5895606763","Schistostega pennata","Herbarium record",2004-09-14,"2004","48.133229","-121.2018219"
"5895609218","Schistostega pennata","Herbarium record",2000-07-13,"2000","46.1944315","-121.6653944"
"5895610627","Schistostega pennata","Herbarium record",2000-06-21,"2000","46.1799314","-121.6861947"
"5895618626","Schistostega pennata","Herbarium record",2003-08-20,"2003","48.746186","-121.58419"
"5895620415","Schistostega pennata","Herbarium record",2001-10-10,"2001","48.503833","-120.7413175"
"5895620422","Schistostega pennata","Herbarium record",2001-06-28,"2001","48.7241239","-121.664547"
"5895621199","Schistostega pennata","Herbarium record",2001-10-02,"2001","46.8005311","-121.3901993"
"5895622722","Schistostega pennata","Herbarium record",2000-07-14,"2000","47.38694","-121.5325"
"5895629943","Schistostega pennata","Herbarium record",1954-11-03,"1954","47.85917","-123.93306"
"5895637519","Schistostega pennata","Herbarium record",2001-04-04,"2001","47.4530048","-123.852176"
"5895644051","Schistostega pennata","Herbarium record",2003-05-14,"2003","47.4676047","-123.8521763"
"5895644060","Schistostega pennata","Herbarium record",2000-08-30,"2000","46.0783314","-121.7485943"
"5895647356","Schistostega pennata","Herbarium record",2001-08-30,"2001","47.3949287","-121.4129119"
"5895648075","Schistostega pennata","Herbarium record",2000-08-02,"2000","46.2089316","-121.6445942"
"5895651933","Schistostega pennata","Herbarium record",2002-06-26,"2002","45.842222","-122.040278"
"5895653597","Schistostega pennata","Herbarium record",1963-07-03,"1963","48.006175","-121.422615"
"5895653736","Schistostega pennata","Herbarium record",2000-06-26,"2000","47.38694","-121.5325"
"5895656157","Schistostega pennata","Herbarium record",1999-07-22,"1999","46.0928338","-121.4783877"
"5895659561","Schistostega pennata","Herbarium record",1998-08-27,"1998","48.666667","-121.716667"
"5895661628","Schistostega pennata","Herbarium record",2002-08-13,"2002","48.6672235","-121.7081469"
"5895662104","Schistostega pennata","Herbarium record",2002-07-31,"2002","46.05357","-121.51245"
"5895664249","Schistostega pennata","Herbarium record",1962-08-03,"1962","47.867308","-123.906126"
"5895665381","Schistostega pennata","Herbarium record",2000-07-14,"2000","47.38694","-121.5325"
"5895667801","Schistostega pennata","Herbarium record",2014-02-02,"2014","47.78912","-121.44295"
"5895681575","Schistostega pennata","Herbarium record",1962-08-02,"1962","47.867998","-123.812656"
"5895683752","Schistostega pennata","Herbarium record",2005-09-26,"2005","46.657132","-121.3692959"
"5895685392","Schistostega pennata","Herbarium record",2000-08-02,"2000","46.2089316","-121.6445942"
"5895687352","Schistostega pennata","Herbarium record",2000-06-23,"2000","47.31778","-121.58333"
"3864924211","Schistostega pennata","Herbarium record",1899-06-05,"1899","47.067612","-122.705977"
"1987874727","Schistostega pennata","Herbarium record",2001-09-29,"2001","46.6","-121.4"
"1987909601","Schistostega pennata","Herbarium record",1977-08-22,"1977","51.3","-117.5"
"1987755387","Schistostega pennata","Herbarium record",1979-09-05,"1979","52.3","-118.8"
"1987900519","Schistostega pennata","Herbarium record",1974-08-02,"1974","53.9","-121.6"
"1987876515","Schistostega pennata","Herbarium record",1977-08-13,"1977","49.8","-116.2"
"1987720402","Schistostega pennata","Herbarium record",1951-08-19,"1951","50.5","-119.5"
"1987910184","Schistostega pennata","Herbarium record",1983-08-01,"1983","54.4","-128.5"
"1987798019","Schistostega pennata","Herbarium record",1978-08-06,"1978","51.1","-117.6"
"1987751412","Schistostega pennata","Herbarium record",1980-08-20,"1980","50.97","-118.72"
"1987905948","Schistostega pennata","Herbarium record",1977-08-12,"1977","49.9","-116.2"
"1987926902","Schistostega pennata","Herbarium record",1969-07-24,"1969","52.9","-132.2"
"1987876459","Schistostega pennata","Herbarium record",2004-09-27,"2004","53.9","-121.6"
"1987838652","Schistostega pennata","Herbarium record",1969-07-26,"1969","53.26","-132.09"
"1987843985","Schistostega pennata","Herbarium record",1977-08-15,"1977","49.3","-115.7"
"1987773542","Schistostega pennata","Herbarium record",2004-09-12,"2004","51.0","-117.6"
"1987719872","Schistostega pennata","Herbarium record",2012-10-16,"2012","59.55","-122.2"
"1987839566","Schistostega pennata","Herbarium record",1981-08-15,"1981","49.3","-122.9"
"5868263075","Schistostega pennata","iNat record",2025-10-19,"2025","57.351253","-135.444"
"5890396968","Schistostega pennata","iNat record",2025-10-26,"2025","49.300883","-123.147815"
"3031897737","Schistostega pennata","iNat record",2021-01-24,"2021","57.062041","-135.305877"
"3820688744","Schistostega pennata","Herbarium record",2003-10-20,"2003","43.5705","-122.0151"
"2005564121","Schistostega pennata","Herbarium record",1968-05-10,"1968","54.245556","-130.118333"
"2573252132","Schistostega pennata","Herbarium record",1899-06-05,"1899","47.030391","-122.680153"
"2573255031","Schistostega pennata","Herbarium record",1899-06-05,"1899","47.030391","-122.680153"
"4851111521","Schistostega pennata","Herbarium record",1899-06-05,"1899","46.77562","-121.780826"
"4068399310","Schistostega pennata","Herbarium record",1998-11-02,"1998","42.125","-122.125"
"4851105509","Schistostega pennata","Herbarium record",2001-08-30,"2001","47.392283","-121.419856"
"4076387394","Schistostega pennata","iNat record",2023-03-29,"2023","49.754066","-124.966782"
"5134691708","Schistostega pennata","iNat record",2025-04-16,"2025","49.305797","-123.14943"
"1807289542","Schistostega pennata","iNat record",2008-05-01,"2008","57.073216","-135.291996"
"4519247190","Schistostega pennata","iNat record",2024-02-02,"2024","49.754282","-124.96604"
"4176972740","Schistostega pennata","iNat record",2023-07-03,"2023","51.300183","-118.339506"
"4062643049","Schistostega pennata","iNat record",2023-02-10,"2023","49.317396","-124.451256"
"5063112120","Schistostega pennata","iNat record",2025-01-18,"2025","49.250759","-122.534462"
"4599880023","Schistostega pennata","iNat record",2024-03-25,"2024","46.994794","-121.913589"
"4846836444","Schistostega pennata","iNat record",2024-04-11,"2024","57.064483","-135.332712"
"2422827409","Schistostega pennata","iNat record",2019-01-19,"2019","49.76412","-124.971768"
"5134329605","Schistostega pennata","iNat record",2025-04-16,"2025","49.304662","-123.14335"
"4908683860","Schistostega pennata","iNat record",2024-06-25,"2024","44.233888","-124.032569"
